sqft,bedrooms,bathrooms,location,price
8147,5,5,Lahore,103240000
5447,4,6,Islamabad,76000000
1244,3,3,Faisalabad,10060000
1106,3,3,Karachi,13600000
2747,5,3,Karachi,27810000
1209,3,3,Rawalpindi,11660000
2146,4,3,Islamabad,26900000
1544,2,2,Karachi,16700000
990,4,3,Islamabad,14450000
1997,3,4,Lahore,23060000
1617,3,2,Peshawar,13530000
916,2,1,Lahore,11270000
1563,4,3,Lahore,20790000
2864,5,4,Islamabad,42490000
1381,3,3,Karachi,15680000
1729,3,2,Multan,11410000
1588,4,2,Lahore,19410000
1689,4,3,Multan,12310000
4503,5,4,Faisalabad,31980000
1319,3,3,Islamabad,18920000
5581,6,5,Lahore,64720000
1842,3,3,Rawalpindi,16930000
1645,3,3,Gujranwala,11590000
2076,3,4,Lahore,27640000
1384,3,2,Lahore,15900000
1094,3,3,Karachi,13610000
693,3,3,Multan,6510000
1968,4,2,Lahore,24760000
4655,5,5,Islamabad,65190000
4650,5,4,Peshawar,36130000
4675,4,4,Islamabad,58900000
2243,5,3,Karachi,26430000
3105,5,4,Lahore,37300000
1137,4,3,Islamabad,16020000
1903,4,3,Multan,14930000
2291,6,5,Islamabad,33750000
1478,4,4,Multan,11800000
1248,2,3,Lahore,15680000
2366,5,5,Multan,17900000
2007,4,3,Islamabad,28240000
1488,4,4,Lahore,19490000
2071,4,3,Karachi,24780000
1166,3,2,Multan,8600000
2105,3,2,Karachi,20350000
1376,3,2,Faisalabad,10000000
859,2,2,Rawalpindi,7940000
5474,6,6,Peshawar,43200000
950,2,1,Karachi,10960000
1801,3,3,Islamabad,24860000
3568,5,3,Gujranwala,23510000
2897,5,3,Lahore,35290000
1824,4,3,Karachi,19230000
1138,2,3,Rawalpindi,9850000
1409,2,3,Rawalpindi,12350000
2375,4,3,Gujranwala,14220000
1430,2,3,Gujranwala,9110000
732,1,2,Faisalabad,6030000
4987,5,4,Rawalpindi,44770000
2711,5,4,Peshawar,22200000
4369,5,5,Lahore,53960000
5283,5,6,Islamabad,71110000
914,3,2,Lahore,11540000
1108,3,3,Rawalpindi,10300000
2715,4,4,Peshawar,20360000
4004,4,5,Karachi,42660000
898,1,3,Rawalpindi,8200000
560,3,3,Rawalpindi,6470000
2432,5,4,Gujranwala,16440000
4488,4,5,Karachi,45600000
914,2,2,Islamabad,12030000
1532,3,4,Gujranwala,10710000
7724,5,6,Islamabad,104650000
2335,4,3,Gujranwala,16020000
5813,5,4,Karachi,59650000
1170,4,4,Karachi,15090000
2185,4,2,Rawalpindi,18680000
2191,6,5,Multan,19220000
1085,3,1,Islamabad,14360000
1331,3,3,Karachi,16640000
4503,5,6,Islamabad,60900000
1093,4,3,Faisalabad,9910000
2106,4,4,Lahore,27230000
3191,5,4,Karachi,35460000
1521,3,2,Faisalabad,12520000
1061,2,2,Islamabad,12880000
1735,3,3,Multan,12310000
3477,5,6,Faisalabad,26580000
1033,2,2,Karachi,12120000
1451,2,3,Islamabad,18400000
1604,3,2,Multan,11430000
1333,3,3,Islamabad,17480000
2440,6,5,Karachi,29190000
1513,2,2,Islamabad,20690000
1445,4,3,Lahore,19500000
1504,3,3,Islamabad,21070000
958,3,3,Islamabad,14350000
1198,2,4,Islamabad,15830000
2716,4,4,Karachi,32670000
2305,5,4,Karachi,26190000
1480,3,2,Rawalpindi,13900000
1211,2,4,Lahore,14210000
1981,3,3,Islamabad,26380000
4153,4,5,Gujranwala,26790000
1399,4,2,Multan,10870000
953,2,3,Lahore,11960000
1880,4,2,Lahore,20440000
1051,2,2,Lahore,12030000
1158,4,4,Peshawar,10760000
7871,7,5,Faisalabad,55070000
3187,4,4,Islamabad,43050000
1458,3,3,Lahore,17160000
5220,5,5,Lahore,58690000
1364,3,4,Karachi,17890000
1970,3,4,Lahore,24410000
1444,3,3,Rawalpindi,13280000
2536,5,4,Multan,17310000
2043,4,4,Islamabad,28780000
2612,5,3,Islamabad,33240000
3067,5,4,Lahore,38920000
915,3,4,Lahore,13670000
2633,3,4,Islamabad,35200000
2044,4,2,Multan,14240000
2377,5,4,Karachi,26360000
861,2,2,Karachi,10680000
1106,3,4,Islamabad,14750000
1276,3,3,Lahore,17320000
685,4,3,Islamabad,11470000
1819,3,4,Karachi,19270000
1904,4,4,Karachi,21990000
1351,3,2,Lahore,15530000
1104,4,3,Peshawar,11200000
1008,3,3,Islamabad,14080000
1593,2,2,Islamabad,22340000
2510,5,3,Lahore,30490000
1537,4,3,Islamabad,22210000
1508,2,2,Rawalpindi,12860000
915,2,3,Lahore,10670000
1183,3,3,Faisalabad,9140000
839,3,4,Rawalpindi,10540000
842,3,2,Peshawar,8360000
911,2,2,Karachi,9420000
2727,4,4,Islamabad,37410000
4617,5,5,Islamabad,58150000
2822,5,4,Rawalpindi,27250000
3395,5,4,Islamabad,42080000
2794,5,4,Islamabad,36300000
1116,3,3,Lahore,15010000
3984,4,5,Rawalpindi,36310000
1362,2,2,Karachi,14700000
843,2,2,Islamabad,13070000
2972,5,4,Lahore,37010000
835,1,2,Lahore,10100000
2943,5,5,Faisalabad,24300000
2028,3,3,Lahore,23770000
633,3,3,Multan,6720000
1908,4,4,Gujranwala,13440000
1769,3,3,Islamabad,23440000
2645,5,4,Lahore,30670000
1980,4,2,Lahore,24310000
866,3,2,Faisalabad,8130000
1230,3,3,Gujranwala,9780000
7054,6,6,Faisalabad,55710000
581,2,1,Lahore,6890000
843,2,2,Islamabad,11980000
5090,6,5,Lahore,58480000
1401,3,3,Rawalpindi,13690000
1204,3,3,Lahore,14510000
8920,6,5,Islamabad,117680000
1410,3,3,Faisalabad,10320000
4132,6,6,Islamabad,55150000
2983,4,4,Faisalabad,24740000
1351,2,2,Lahore,17180000
846,2,2,Rawalpindi,8750000
1530,3,4,Faisalabad,13920000
2146,4,3,Peshawar,17810000
2653,5,4,Rawalpindi,24630000
2731,4,4,Islamabad,39510000
6140,6,6,Rawalpindi,56710000
899,3,2,Peshawar,8970000
4232,5,5,Rawalpindi,37840000
2258,3,4,Islamabad,27530000
6941,6,5,Gujranwala,43290000
1751,3,3,Islamabad,23570000
6051,5,6,Lahore,60880000
1420,3,3,Rawalpindi,12990000
1522,3,3,Gujranwala,10410000
1348,4,2,Lahore,16820000
599,3,2,Lahore,9210000
1445,3,4,Gujranwala,10830000
1958,4,3,Peshawar,16730000
714,2,2,Islamabad,11410000
2152,4,3,Islamabad,27960000
759,2,2,Islamabad,9250000
3919,5,6,Rawalpindi,35220000
2351,4,2,Islamabad,32730000
1825,3,2,Lahore,20070000
1209,3,1,Lahore,14710000
1129,1,3,Islamabad,15940000
2109,4,4,Islamabad,29710000
3246,5,4,Lahore,38360000
2459,6,3,Karachi,27290000
1490,3,3,Gujranwala,9960000
2735,4,4,Karachi,30410000
798,3,2,Islamabad,10650000
1053,4,2,Peshawar,8880000
2405,4,4,Faisalabad,17940000
1523,4,2,Multan,10140000
1712,4,4,Rawalpindi,17040000
1353,3,4,Islamabad,20690000
2244,3,3,Karachi,21800000
1036,3,2,Gujranwala,8130000
1923,4,4,Gujranwala,12460000
1735,2,2,Karachi,19310000
2591,6,5,Islamabad,41050000
4344,5,4,Karachi,46560000
4939,5,5,Karachi,53540000
1033,2,2,Islamabad,14360000
2232,4,3,Karachi,23230000
725,3,1,Gujranwala,6260000
2780,5,4,Rawalpindi,25960000
2231,4,3,Faisalabad,18130000
1990,5,2,Lahore,22660000
1440,3,3,Gujranwala,10320000
1657,4,3,Faisalabad,12410000
1322,3,2,Peshawar,10990000
1758,3,3,Lahore,19630000
1770,3,3,Lahore,22070000
3000,4,5,Lahore,40010000
1615,3,3,Lahore,22020000
3023,5,5,Faisalabad,23720000
4047,5,5,Islamabad,53450000
1404,3,3,Lahore,18470000
1114,2,3,Rawalpindi,10460000
1719,4,3,Islamabad,24290000
1967,3,3,Gujranwala,13760000
1914,4,2,Gujranwala,12580000
1049,3,3,Rawalpindi,10230000
1191,3,3,Faisalabad,10200000
1518,3,2,Karachi,17250000
2189,4,3,Islamabad,33470000
1658,4,3,Karachi,21070000
8068,6,5,Rawalpindi,77570000
4150,5,5,Islamabad,52300000
1970,5,3,Islamabad,24860000
1666,4,3,Karachi,17860000
2437,5,5,Karachi,28150000
2787,4,4,Islamabad,34220000
1632,4,2,Peshawar,13960000
1663,3,3,Lahore,19870000
2773,5,4,Islamabad,37420000
1163,2,4,Islamabad,15190000
1084,3,3,Karachi,11440000
1924,4,4,Multan,14210000
2452,4,4,Faisalabad,19860000
2731,5,5,Islamabad,37670000
4484,5,5,Islamabad,62980000
1580,4,2,Islamabad,21300000
861,3,2,Islamabad,12980000
1618,4,2,Lahore,19170000
1835,3,4,Rawalpindi,18550000
2474,5,3,Islamabad,33000000
7936,6,6,Karachi,93970000
1018,3,3,Karachi,12340000
2489,4,4,Faisalabad,16030000
554,1,1,Peshawar,4510000
2713,4,4,Gujranwala,18160000
2709,4,4,Karachi,28260000
1488,4,3,Peshawar,11720000
6830,6,6,Multan,47970000
3582,5,5,Lahore,40460000
1909,3,3,Rawalpindi,16360000
2573,4,3,Karachi,28450000
2181,5,4,Gujranwala,14470000
1656,3,2,Rawalpindi,15410000
8496,6,6,Islamabad,110880000
1115,2,2,Lahore,13550000
6856,7,6,Islamabad,98710000
2935,4,4,Karachi,34260000
1098,3,3,Multan,7760000
1304,4,3,Gujranwala,9770000
2653,5,4,Lahore,32120000
2985,4,4,Faisalabad,23640000
4739,6,4,Gujranwala,28310000
2843,5,4,Karachi,35070000
2126,4,3,Lahore,25620000
1837,5,2,Islamabad,24060000
2241,5,4,Karachi,26550000
693,3,2,Karachi,9340000
994,3,2,Lahore,12160000
2809,5,4,Karachi,33240000
544,2,1,Rawalpindi,5920000
1730,4,3,Karachi,20100000
2207,4,4,Karachi,25860000
815,2,2,Karachi,9330000
1557,4,3,Peshawar,13270000
1738,4,4,Islamabad,25440000
1665,2,3,Rawalpindi,15250000
1831,2,3,Faisalabad,14600000
878,2,3,Lahore,9980000
1488,3,3,Lahore,17340000
844,2,2,Islamabad,13090000
1110,3,3,Peshawar,10180000
829,2,1,Gujranwala,5510000
1588,3,3,Multan,10900000
1172,4,4,Islamabad,18650000
1920,5,2,Islamabad,27180000
1558,2,3,Lahore,16710000
5884,5,5,Karachi,68380000
1410,3,2,Lahore,17810000
2790,5,3,Faisalabad,20500000
2030,4,3,Karachi,24030000
1906,5,3,Rawalpindi,17420000
2461,4,4,Islamabad,31750000
1996,5,4,Peshawar,17030000
2164,4,3,Lahore,25330000
1772,4,4,Islamabad,26640000
2175,4,3,Lahore,24540000
1376,2,3,Peshawar,11730000
1276,2,4,Peshawar,10700000
1875,2,4,Rawalpindi,15700000
1876,5,3,Faisalabad,15700000
1313,2,2,Rawalpindi,12330000
2073,3,3,Karachi,23110000
4601,5,5,Islamabad,66430000
1871,5,5,Karachi,21870000
1570,2,2,Lahore,18330000
1763,3,3,Islamabad,23350000
2881,5,3,Lahore,33510000
1243,2,4,Rawalpindi,12160000
3068,5,4,Lahore,33090000
1488,4,3,Lahore,18660000
2022,4,3,Peshawar,16230000
1636,3,3,Islamabad,22110000
742,2,3,Gujranwala,6020000
4807,5,6,Lahore,55080000
6564,7,6,Islamabad,95300000
923,1,1,Faisalabad,7140000
2139,4,3,Islamabad,26130000
1040,3,1,Peshawar,9540000
1377,2,4,Islamabad,20390000
1045,3,2,Karachi,12680000
1196,3,3,Karachi,12640000
1763,3,3,Multan,13390000
1826,4,3,Lahore,20830000
1913,4,2,Gujranwala,13820000
1207,2,3,Lahore,14460000
1008,3,3,Gujranwala,7870000
1807,5,3,Lahore,21280000
1319,2,3,Karachi,15420000
1629,3,3,Islamabad,22220000
708,2,2,Gujranwala,4940000
2087,6,5,Multan,17640000
753,2,1,Faisalabad,6020000
2612,5,4,Rawalpindi,22800000
1327,2,3,Islamabad,18100000
1572,4,2,Gujranwala,11740000
5071,5,4,Rawalpindi,44590000
621,1,2,Multan,4740000
1735,3,3,Lahore,20560000
3107,5,4,Lahore,37350000
