Date,Product,Category,Quantity,Unit_Price,Sales,Region
2021-01-01,Premium Notebook,Office Supplies,6.0,18.55,111.3,South
2021-01-01,Executive Ergonomic Desk,Furniture,4.0,550.12,2200.48,South
2021-01-01,Printer Laser X,Office Supplies,5.0,298.72,1493.6,West
2021-01-01,Conference Room Table,Furniture,2.0,802.44,1604.88,West
2021-01-01,Running Shoes,Clothing,1.0,89.02,89.02,South
2021-01-02,Business Backpack,Clothing,1.0,64.84,64.84,North
2021-01-02,Winter Jacket,Clothing,2.0,103.64,207.28,North
2021-01-02,Conference Room Table,Furniture,1.0,860.96,860.96,East
2021-01-02,Laptop Pro 15,Technology,1.0,1125.86,1125.86,South
2021-01-02,Formal Shirt,Clothing,1.0,44.97,44.97,North
2021-01-03,Smartphone Ultra,Technology,6.0,842.87,5057.22,West
2021-01-03,4K Ultra HD Monitor,Technology,3.0,360.29,1080.87,South
2021-01-03,Conference Room Table,Furniture,4.0,744.06,2976.24,West
2021-01-03,Business Backpack,Clothing,2.0,66.71,133.42,South
2021-01-04,Premium Notebook,Office Supplies,1.0,19.06,19.06,East
2021-01-04,Office Chair Pro,Furniture,1.0,275.91,275.91,South
2021-01-05,Premium Notebook,Office Supplies,1.0,17.24,17.24,South
2021-01-05,Formal Shirt,Clothing,1.0,45.73,45.73,West
2021-01-05,Business Backpack,Clothing,3.0,62.33,186.99,West
2021-01-06,4K Ultra HD Monitor,Technology,3.0,337.16,1011.48,South
2021-01-06,Executive Ergonomic Desk,Furniture,1.0,546.43,546.43,West
2021-01-07,Coffee Maker,Appliances,5.0,175.54,877.7,West
2021-01-07,Filing Cabinet,Office Supplies,2.0,144.39,288.78,South
2021-01-07,Smartphone Ultra,Technology,1.0,811.76,811.76,South
2021-01-07,Wireless Headphones,Technology,1.0,150.96,150.96,East
2021-01-08,Office Chair Pro,Furniture,4.0,281.39,1125.56,South
2021-01-08,Smartphone Ultra,Technology,2.0,821.51,1643.02,West
2021-01-08,Filing Cabinet,Office Supplies,1.0,158.72,158.72,South
2021-01-09,Formal Shirt,Clothing,1.0,43.37,43.37,South
2021-01-09,Formal Shirt,Clothing,1.0,44.22,44.22,East
2021-01-10,Premium Notebook,Office Supplies,2.0,17.08,34.16,East
2021-01-10,Wireless Headphones,Technology,1.0,150.04,150.04,North
2021-01-10,Smartphone Ultra,Technology,3.0,842.09,2526.27,North
2021-01-10,Business Backpack,Clothing,1.0,63.49,63.49,South
2021-01-10,Conference Room Table,Furniture,3.0,765.45,2296.35,East
2021-01-11,Office Chair Pro,Furniture,1.0,276.47,276.47,North
2021-01-11,Printer Laser X,Office Supplies,2.0,296.86,593.72,West
2021-01-11,Office Chair Pro,Furniture,5.0,261.55,1307.75,North
2021-01-11,Formal Shirt,Clothing,1.0,42.65,42.65,South
2021-01-11,Running Shoes,Clothing,2.0,98.82,197.64,West
2021-01-12,Formal Shirt,Clothing,3.0,46.16,138.48,North
2021-01-12,Smartphone Ultra,Technology,3.0,809.44,2428.32,North
2021-01-12,4K Ultra HD Monitor,Technology,1.0,348.31,348.31,East
2021-01-12,Laptop Pro 15,Technology,1.0,1233.39,1233.39,East
2021-01-12,Formal Shirt,Clothing,3.0,44.74,134.22,North
2021-01-13,Business Backpack,Clothing,4.0,64.88,259.52,South
2021-01-13,Executive Ergonomic Desk,Furniture,2.0,602.94,1205.88,West
2021-01-13,Executive Ergonomic Desk,Furniture,4.0,556.98,2227.92,South
2021-01-14,4K Ultra HD Monitor,Technology,1.0,333.35,333.35,North
2021-01-14,Running Shoes,Clothing,1.0,90.25,90.25,East
